Unique Product Identifier (UPC or SKU),Manufacturer,Brand Name,Product Name,Category,Flavor,Date Added to Directory
816332022180,Flavors15 LLC,NicQuid,Smoothol,E-liquid,Menthol,06/04/2025
816332022197,Flavors15 LLC,NicQuid,Smoothol,E-liquid,Menthol,06/04/2025
816332022203,Flavors15 LLC,NicQuid,Smoothol,E-liquid,Menthol,06/04/2025
811109026347,Flavors15 LLC,NicQuid,Smoothol,E-liquid,Menthol,06/04/2025
811109024381,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
811109023377,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
811109023384,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
811109023391,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
811109023407,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
816332022296,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
816332022302,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
816332022319,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
816332022326,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
811109026453,Flavors15 LLC,NicQuid,Southern Freeze,E-liquid,Menthol,06/04/2025
811109025869,Flavors15 LLC,NicQuid,Spearmint,E-liquid,Menthol,06/04/2025
811109025852,Flavors15 LLC,NicQuid,Spearmint,E-liquid,Menthol,06/04/2025
811109025845,Flavors15 LLC,NicQuid,Spearmint,E-liquid,Menthol,06/04/2025
811109025838,Flavors15 LLC,NicQuid,Spearmint,E-liquid,Menthol,06/04/2025
811109025791,Flavors15 LLC,NicQuid,Spearmint,E-liquid,Menthol,06/04/2025
811109025807,Flavors15 LLC,NicQuid,Spearmint,E-liquid,Menthol,06/04/2025
811109025814,Flavors15 LLC,NicQuid,Spearmint,E-liquid,Menthol,06/04/2025
811109025821,Flavors15 LLC,NicQuid,Spearmint,E-liquid,Menthol,06/04/2025
811109025913,Flavors15 LLC,NicQuid,Sweet Leaf,E-liquid,Tobacco,06/04/2025
811109025906,Flavors15 LLC,NicQuid,Sweet Leaf,E-liquid,Tobacco,06/04/2025
811109025890,Flavors15 LLC,NicQuid,Sweet Leaf,E-liquid,Tobacco,06/04/2025
811109025883,Flavors15 LLC,NicQuid,Sweet Leaf,E-liquid,Tobacco,06/04/2025
811109025968,Flavors15 LLC,NicQuid,Sweet Leaf,E-liquid,Tobacco,06/04/2025
811109025951,Flavors15 LLC,NicQuid,Sweet Leaf,E-liquid,Tobacco,06/04/2025
811109025944,Flavors15 LLC,NicQuid,Sweet Leaf,E-liquid,Tobacco,06/04/2025
811109025937,Flavors15 LLC,NicQuid,Sweet Leaf,E-liquid,Tobacco,06/04/2025
840048220370,"Juul Labs, Inc.",Juul,Juul Us Sapphire Device Kit,Device,N/A,05/13/2025
810050170062,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Gold 6mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170079,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Gold 12mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170086,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Gold 16mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170093,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Gold 24mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170017,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Classic 6mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170024,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Classic 12mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170031,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Classic 16mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170048,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Classic 24mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170116,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Blue 6mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170123,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Blue 12mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170130,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Blue 16mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170147,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Tobacco Blue 24mg/ml,E-liquid Cartridge,Tobacco,05/21/2025
810050170161,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Menthol 6mg/ml,E-liquid Cartridge,Menthol,05/21/2025
810050170178,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Menthol 12mg/ml,E-liquid Cartridge,Menthol,05/21/2025
810050170185,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Menthol 16mg/ml,E-liquid Cartridge,Menthol,05/21/2025
810050170192,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - 5 Pack Menthol 24mg/ml,E-liquid Cartridge,Menthol,05/21/2025
810050170208,South Beach Holding/TPB Beast,South Beach Smoke,South Beach Smoke - Long White Automatic Battery,Power Unit,,05/21/2025
601956370775,Maduro Distributors Inc dba The Loon,Loon,Loon Air Maxx,Disposable,Frozen Mango,05/15/2025
810029041027,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blackberry Lemonade 100ml 0mg,E-liquid,Blackberry & Lemonade,05/29/2025
810029041034,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blackberry Lemonade 100ml 3mg,E-liquid,Blackberry & Lemonade,05/29/2025
810029041041,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blackberry Lemonade 100ml 6mg,E-liquid,Blackberry & Lemonade,05/29/2025
810029040907,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blackberry Lemonade 60ml 0mg,E-liquid,Blackberry & Lemonade,05/29/2025
810029040914,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blackberry Lemonade 60ml 3mg,E-liquid,Blackberry & Lemonade,05/29/2025
810029040921,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blackberry Lemonade 60ml 6mg,E-liquid,Blackberry & Lemonade,05/29/2025
810029041140,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blackberry Lemonade Salt 30ml 24mg,E-liquid,Blackberry & Lemonade,05/29/2025
810029041157,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blackberry Lemonade Salt 30ml 48mg,E-liquid,Blackberry & Lemonade,05/29/2025
810029043762,Wages & White Lion Investments LLC dba Triton Distribution,Vapetasia,Vapetasia Blueberry Parfait 100ml 0mg,E-liquid,Blueberry & Yogurt,05/29/2025
1000706060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Raspberry French 60ml 6mg,E-liquid,Cream Raspberry Mixed Berry,05/29/2025
1000712060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Raspberry French 60ml 12mg,E-liquid,Cream Raspberry Mixed Berry,05/29/2025
1000718060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Raspberry French 60ml 18mg,E-liquid,Cream Raspberry Mixed Berry,05/29/2025
850011519158,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 120ml 0mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
850011519165,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 120ml 3mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
850011519172,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Shurb 120ml 6mg,E-liquid,Mixed Citrus & Raspberry,05/29/2025
1001000060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 60ml 0mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
1001003060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 60ml 3mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
1001006060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 60ml 6mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
1001012060,Wages & White Lion Investments LLC dba Triton Distribution,Jimmy The Juiceman,Jimmy The Juiceman Strawberry Astronaut 60ml 12mg,E-liquid,Strawberry & Mixed Berry,05/29/2025
